WELL,I,J,K,DEPTH,PROPERTY,COST,WWCT_cost,WOPR_cost,WSWP_cost,WGPR_cost,class_
BEGJP8P1,48,589,3,3577.0,WSWP,161983.85278320312,2735.4576695743813,167745.26475524902,161983.85278320312,54253.001578114934,2
BEGJP893,115,428,2,3684.44,WSWP,121989.79553222655,922.9697799934074,71965.76961898804,121989.79553222655,123837.05123716591,2
BEGJP889,65,387,1,3261.48,WSWP,91924.8334350586,427.5556478159269,12166.969057559969,91924.8334350586,154395.53573536873,2
BEGJP198,40,559,4,3417.27,WSWP,119166.4658203125,1095.5376348999853,27948.421892195944,119166.4658203125,115328.25798863545,2
BEGJP19P,41,533,1,3323.83,WSWP,135877.7763671875,604.9356932878728,34034.73248577118,135877.7763671875,33755.00442534685,2
BEGJP18P,96,581,2,3798.79,WSWP,86796.45855712889,136.75094444188292,2628.2340850830083,86796.45855712889,25168.216341876425,2
BEGJP888,78,376,212,3963.86,WSWP,139278.98681640625,197.9961692690849,7142.0570068359375,139278.98681640625,14755.953726261852,1
BEGJP918,112,328,3,3661.73,WSWP,127475.7412109375,1577.7105111561248,161588.5524597168,127475.7412109375,168688.64634730667,2
BEGJP88P,113,415,1,3659.46,WSWP,95328.55334472656,1337.157104077749,45955.564784765236,95328.55334472656,134552.9666596651,2
BEGJP898,115,392,3,3697.47,WSWP,90125.73706054688,482.9823376593413,37310.874612808235,90125.73706054688,141180.73780345914,2
BEGJP1P3,108,560,2,3817.53,WSWP,93506.09985351562,121.94459442398512,6759.3212890625,93506.09985351562,127333.05578923224,2
BEGJP195,47,565,1,3370.95,WSWP,120632.6085205078,885.0798794619623,9606.801764864476,120632.6085205078,123479.27380287836,2
BEGJP911,99,333,3,3513.07,WSWP,99760.6821899414,84.3326659006998,6380.45361328125,99760.6821899414,161923.00827360153,2
BEGJP595,115,463,1,3740.12,WSWP,96878.46411132812,485.0145036636386,23618.79949355125,96878.46411132812,142321.35917431116,2
BEGJP1P9,45,493,6,3261.28,WSWP,127763.24572753905,1140.0884900466772,4706.2406833171835,127763.24572753905,95462.81672149547,2
BEGJP895,109,619,4,3937.01,WSWP,90956.32110595703,2018.6451528642792,110396.3818283081,90956.32110595703,88872.81139634551,2
BEGJP191,107,576,4,3858.86,WSWP,83883.41369628906,1448.3759134681893,51843.28903627396,83883.41369628906,125160.04289758205,2
BEGJP891,106,631,3,3944.44,WSWP,82647.94458007812,1140.1087541580198,61833.08055305482,82647.94458007812,102878.84335382283,2
BEGJP89P,88,610,4,3913.26,WSWP,81863.75543212889,1895.150262490148,42257.13159589469,81863.75543212889,72699.10646368058,2
BEGJP985,115,109,3,3856.66,WSWP,89542.20166015625,510.1573540586978,64595.05004501343,89542.20166015625,119098.17696476725,2
BEGJP598,47,485,7,3252.51,WSWP,125146.38220214845,511.24913782288803,3923.858170092106,125146.38220214845,77017.75156592298,2
BEGJP898,102,413,3,3560.83,WSWP,98562.30688476562,255.15117470547557,4437.170639038086,98562.30688476562,48933.22327552503,2
BEGJP929,120,185,4,3927.16,WSWP,148633.83837890625,172.11795672919834,14144.393466949463,148633.83837890625,154789.21497490257,2
BEGJP899,108,608,7,3940.43,WSWP,93619.21728515624,138.32685386389494,6436.155258178711,93619.21728515624,108002.1266818568,2
BEGJP898,100,614,6,3914.5,WSWP,78115.56494140625,158.76386494701728,59797.2492980957,78115.56494140625,87915.67135475576,2
BEGJP591,101,471,3,3584.08,WSWP,95663.69122314453,143.8795295422897,1716.5299335718155,95663.69122314453,53534.784529125085,2
BEGJP899,71,377,4,3285.67,WSWP,90538.87017822266,104.84140385559294,4844.653262615204,90538.87017822266,116266.96146532893,2
BEGJP199,42,550,2,3324.41,WSWP,120289.65844726562,1412.8210635361609,7177.7827617526045,120289.65844726562,120808.7166693788,2
BEGJP1P1,95,555,5,3696.33,WSWP,96409.2398071289,23.113877921714447,1206.4173583984375,96409.2398071289,36640.96194151044,2
BEGJP912,80,336,288,4027.82,WSWP,92181.59051513672,2742.340126335621,105174.65081208943,92181.59051513672,655191.7428740636,1
BEGJP585,114,476,3,3739.47,WSWP,90469.75701904297,573.0472879068693,51362.17511367798,90469.75701904297,150807.57946255806,2
